Country,Country Code,Year,Mental disorders,% Eating disorders,% Anxiety disorders,% Drug disorders,% Depressive disorders,%HappyPeople,Annual working hours per worker,GDP,Depressive disorders,Physical Activity,Drug use,Smoking,Life satisfaction,% people who are happy_y,Population,Productivity per hour worked,Region 1,Region 2,Continent,Paid work,Education,Care for household members ,Housework,Shopping,Other unpaid work & volunteering,Sleep,Eating and drinking,Personal care,Sports,Attending events,Seeing friends,TV and Radio,Other leisure activities
India,IND,1997,0.1444,0.0009,0.0282,0.0044,0.0448,,2079.3826,1854.2544,0.0448,1023819.43,2506203.57,21891965.6,,,1002335232.0,2.286061,Southern Asia,,Asia,271.540982812833,23.4384326931682,21.4511380749928,148.400911676364,11.5684164415564,22.1140807999349,528.14137472817,83.855191600656,75.4933484382237,5.49870466801727,4.60920558719274,73.2575313102545,61.4372416971058,109.19343947153
Indonesia,IDN,1997,0.1085,0.0009,0.0351,0.0044,0.0245,,1923.3959,4941.9053,0.0245,235504.79,285332.73,4163624.16,,,204628016.0,6.1283298,South-eastern Asia,,Asia,,,,,,,,,,,,,,
Iran,IRN,1997,0.1885,0.0021,0.0735,0.0065,0.0469,,,6825.542,0.0469,157732.3,238842.66,832156.64,,,62480528.0,,,,,,,,,,,,,,,,,,
Iraq,IRQ,1997,0.15,0.0017,0.0525,0.0042,0.0393,,,5199.2783,0.0393,90564.9,44004.68,478693.91,,,22330776.0,,Western Asia,,Asia,,,,,,,,,,,,,,
Ireland,IRL,1997,0.1711,0.0037,0.0702,0.0124,0.0454,0.91117767,1954.1941,30539.477,0.0454,18591.56,13734.23,186967.02,,,3640157.0,40.08107,Northern Europe,,Europe,231.22452,36.73677,60.75594,90.74858,27.56674,71.742231,491.2542,75.38656,42.27291,20.02075,41.72778,48.95445,85.1351,116.4735
Israel,ISR,1997,0.1482,0.0034,0.0378,0.0076,0.0509,,2040.4977,30878.256,0.0509,18401.33,12087.87,154556.63,,,5743280.0,34.920345,Western Asia,,Asia,,,,,,,,,,,,,,
Italy,ITA,1997,0.1479,0.0056,0.0546,0.0139,0.0419,0.73420265,1859.8639,32623.664,0.0419,254623.58,367990.14,2583874.66,,,56925808.0,45.140743,Southern Europe,,Europe,148.894551667369,27.8145064944904,26.6215093373906,134.714272650929,27.7427282210164,43.1455966873868,513.32088598243,126.974854655019,67.5124773650722,38.2140859775021,5.82331255466776,65.3572067967137,103.692722108948,110.171289501065
Jamaica,JAM,1997,0.1368,0.002,0.0406,0.0106,0.0303,,1963.9474,5669.9473,0.0303,9123.73,4037.19,35614.87,,,2554952.0,7.8006964,Caribbean,Latin America and the Caribbean,North America,,,,,,,,,,,,,,
Japan,JPN,1997,0.1074,0.004,0.0286,0.0082,0.0218,,1887.1,37646.12,0.0218,244420.73,366902.14,4763773.26,,,126027984.0,37.125977,Eastern Asia,,Asia,325.711372400686,36.98,0.0,80.3704725353802,24.9289075041054,97.7241826669373,442.020937505766,93.4542179456428,84.5629608649925,10.2225999594073,,16.912066166024,103.224657268853,147.953249257339
Jordan,JOR,1997,0.1567,0.0018,0.0507,0.0038,0.0477,,,3640.8474,0.0477,9357.24,5290.85,69503.65,,,4733666.0,,Western Asia,,Asia,,,,,,,,,,,,,,
Kazakhstan,KAZ,1997,0.1082,0.0013,0.0224,0.0078,0.0368,,,5977.298,0.0368,52917.5,99132.61,849277.66,,,15820435.0,,Central Asia,,Asia,,,,,,,,,,,,,,
Kenya,KEN,1997,0.1258,0.001,0.0343,0.0027,0.0515,,,2324.112,0.0515,3183.29,347549.74,207994.21,,,28364268.0,,Eastern Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Kiribati,KIR,1997,0.1215,0.0007,0.0411,0.0066,0.0315,,,,0.0315,358.7,301.96,5687.6,,,84319.0,,Micronesia,,Oceania,,,,,,,,,,,,,,
Kuwait,KWT,1997,0.1367,0.0033,0.045,0.004,0.0419,,,49563.918,0.0419,5812.87,2622.25,25031.98,,,1761473.0,,Western Asia,,Asia,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,1997,0.1153,0.0009,0.0215,0.0055,0.0377,,,2722.4521,0.0377,6739.01,19627.95,158991.04,,,4738384.0,,Central Asia,,Asia,,,,,,,,,,,,,,
Laos,LAO,1997,0.1274,0.0007,0.0436,0.0047,0.0297,,,1853.0448,0.0297,3678.52,6078.75,144708.4,,,5150539.0,,,,,,,,,,,,,,,,,,
Latvia,LVA,1997,0.1321,0.0014,0.0402,0.0145,0.0452,,1975.9169,10087.817,0.0452,12435.52,19464.23,163391.64,,,2498881.0,12.715266,Northern Europe,,Europe,316.55785239539,13.3805744792769,15.0,129.983208711424,15.851147895987,39.3383775128274,512.28976055897,88.8673209536938,40.139126199078,24.9906312795239,4.79630082605192,35.084831672703,123.297316798906,80.6722335381973
Lebanon,LBN,1997,0.1673,0.002,0.0622,0.0049,0.0507,,,3374.225,0.0507,18604.67,8115.48,108990.18,,,4107559.0,,Western Asia,,Asia,,,,,,,,,,,,,,
Lesotho,LSO,1997,0.1297,0.0009,0.0359,0.0057,0.0526,,,2788.244,0.0526,1466.49,11069.22,46295.26,,,1972588.0,,Southern Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Liberia,LBR,1997,0.1272,0.0007,0.0344,0.0037,0.0457,,,486.9445,0.0457,2005.14,3160.75,18071.9,,,2383302.0,,Western Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Libya,LBY,1997,0.1478,0.0025,0.0536,0.005,0.0446,,,,0.0446,11849.17,9192.65,53460.74,,,4902348.0,,Northern Africa,,Africa,,,,,,,,,,,,,,
Lithuania,LTU,1997,0.1369,0.0014,0.0457,0.0069,0.0458,,1732.694,10424.372,0.0458,15603.55,13535.94,181741.22,,,3694897.0,14.269204,Northern Europe,,Europe,303.647286983591,11.5678631773108,19.0,154.418287326969,17.2769022801563,41.5086475782979,503.068938418063,88.2054049757886,54.2643061197636,15.9622240010951,1.34694427718498,31.7824607910675,136.784337352373,60.7308365857219
Luxembourg,LUX,1997,0.1535,0.0053,0.0586,0.0144,0.0406,0.93478264,1598.037,51031.633,0.0406,1191.45,2622.96,18943.67,,,418413.0,58.60165,Western Europe,,Europe,247.225461265374,37.4626732313631,20.0,107.930132115842,23.030768700503,42.1755764657223,518.173357301369,112.2223273917,55.272546259104,33.2370820507518,12.4419954980393,32.301265480461,116.073319917597,82.3320368322953
Madagascar,MDG,1997,0.1285,0.0009,0.0387,0.0034,0.0487,,,1207.5371,0.0487,3402.32,9927.57,192448.33,,,14778913.0,,Eastern Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Malawi,MWI,1997,0.1252,0.0007,0.0376,0.0035,0.0432,,,1177.9026,0.0432,2507.97,26301.64,119385.13,,,10512681.0,,Eastern Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Malaysia,MYS,1997,0.1159,0.0012,0.0463,0.0056,0.0329,,2250.7688,13890.785,0.0329,35356.21,89562.15,421447.23,,,21249178.0,15.305839,South-eastern Asia,,Asia,,,,,,,,,,,,,,
Maldives,MDV,1997,0.1182,0.001,0.0372,0.0051,0.0356,,,7908.1436,0.0356,374.72,408.99,4903.17,,,269054.0,,Southern Asia,,Asia,,,,,,,,,,,,,,
Mali,MLI,1997,0.1053,0.0008,0.0265,0.0026,0.0358,,,1270.6154,0.0358,4594.1,9946.43,53264.96,,,10359310.0,,Western Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Malta,MLT,1997,0.1569,0.0037,0.0685,0.0084,0.0339,,2252.865,19442.06,0.0339,2493.7,1118.2,15314.98,,,388843.0,22.516294,Southern Europe,,Europe,,,,,,,,,,,,,,
Marshall Islands,MHL,1997,0.1187,0.0008,0.0407,0.0073,0.0304,,,,0.0304,147.96,141.24,1142.74,,,52376.0,,Micronesia,,Oceania,,,,,,,,,,,,,,
Mauritania,MRT,1997,0.1063,0.001,0.0277,0.0033,0.0377,,,3292.4946,0.0377,4696.7,1939.91,21118.97,,,2484287.0,,Western Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Mauritius,MUS,1997,0.1247,0.0012,0.0393,0.0064,0.0437,,,16413.287,0.0437,3702.58,4720.85,33132.88,,,1184265.0,,Eastern Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Mexico,MEX,1997,0.1122,0.0024,0.0315,0.0053,0.0328,,2241.0,13003.718,0.0328,115306.61,172789.12,1033165.37,,,93183088.0,16.18199,Central America,Latin America and the Caribbean,North America,302.333564,45.29898,38.211547,187.3759,14.17935,45.56969,498.6954,77.00255,57.88589,13.57335,7.206197,44.15583,65.65993,41.33212
Micronesia (country),FSM,1997,0.1187,0.0008,0.0406,0.0078,0.0308,,,,0.0308,429.26,343.27,4313.02,,,111152.0,,,,,,,,,,,,,,,,,,
Moldova,MDA,1997,0.1323,0.001,0.0434,0.0071,0.0374,,,3147.6797,0.0374,11657.78,27514.2,198162.51,,,4393794.0,,,,,,,,,,,,,,,,,,
Monaco,MCO,1997,0.1588,0.008,0.0597,0.0108,0.0445,,,,0.0445,212.91,86.29,2061.3,,,31994.0,,Western Europe,,Europe,,,,,,,,,,,,,,
