Country;Year;Mental disorders;% Eating disorders;% Anxiety disorders;% Drug disorders;% Depressive disorders;%HappyPeople;Annual working hours per worker;Depressive disorders;Physical Activity;Drug use;Smoking;Life satisfaction;Productivity per hour worked;Continent;Paid work;Shopping;Personal care;Sports;Seeing friends;TV and Radio;Other leisure activities;Income
Romania;2017;0.1112;0.0017;0.035;0.0035;0.0283;;1785.7968;0.0283;87563.29;78348.46;1098369.65;0.0612994241714478;32.271114;Europe;;;;;;;;10110.0
Rwanda;2017;0.1309;0.0009;0.0378;0.0044;0.0522;;;0.0522;2443.86;8833.2;125507.5;0.0326815223693848;;Africa;;;;;;;;730.0
Saint Kitts and Nevis;2017;0.1507;0.003;0.0452;0.0084;0.0413;;;0.0413;251.04;136.42;627.85;;;North America;;;;;;;;
Saint Lucia;2017;0.144;0.0023;0.0451;0.0122;0.034;;;0.034;855.19;307.16;2846.48;;;North America;;;;;;;;
Saint Vincent and the Grenadines;2017;0.1437;0.0022;0.0445;0.0091;0.0344;;;0.0344;691.97;202.58;1651.88;;;North America;;;;;;;;
Samoa;2017;0.1155;0.001;0.0417;0.01;0.029;;;0.029;842.48;474.61;6951.47;;;Oceania;;;;;;;;4070.0
San Marino;2017;0.1594;0.0056;0.061;0.0113;0.045;;;0.045;106.81;96.1;987.4;;;Europe;;;;;;;;
Sao Tome and Principe;2017;0.1094;0.0011;0.0318;0.0035;0.0377;;;0.0377;144.0;200.77;1218.04;;;Africa;;;;;;;;1700.0
Saudi Arabia;2017;0.1363;0.0029;0.0474;0.0045;0.0437;;;0.0437;194297.06;79586.77;447198.12;0.065612473487854;;Asia;;;;;;;;19990.0
Senegal;2017;0.1095;0.001;0.0294;0.0033;0.0405;;;0.0405;14717.79;14535.88;100238.13;0.0548873662948608;;Africa;;;;;;;;1280.0
Serbia;2017;0.1142;0.0015;0.0358;0.0046;0.0302;;;0.0302;35094.39;22227.5;624925.54;0.0624140739440918;;Europe;;;;;;;;5570.0
Seychelles;2017;0.1084;0.0016;0.0393;0.0098;0.0276;;;0.0276;195.5;417.33;2901.45;;;Africa;;;;;;;;14350.0
Sierra Leone;2017;0.1234;0.0009;0.0373;0.0036;0.0446;;;0.0446;4864.69;9940.63;68925.41;0.0344738149642944;;Africa;;;;;;;;520.0
Slovakia;2017;0.1122;0.0019;0.0368;0.0081;0.029;;1713.781;0.029;17371.39;17892.61;223901.8;0.062434287071228;35.165665;Europe;;;;;;;;
Slovenia;2017;0.1166;0.002;0.0365;0.0097;0.0339;;1621.4988;0.0339;4312.87;7441.41;77792.03;0.0666527366638184;40.554752;Europe;226.685159500693;17.9750346740638;40.9431345353675;31.9556171983356;61.9140083217753;119.833564493759;91.872399445215;22140.0
Solomon Islands;2017;0.1221;0.0007;0.0411;0.0071;0.0308;;;0.0308;2352.8;2186.41;32237.21;;;Oceania;;;;;;;;2220.0
Somalia;2017;0.1433;0.0005;0.0334;0.0034;0.0494;;;0.0494;3562.62;12671.25;174870.75;;;Africa;;;;;;;;290.0
South Africa;2017;0.1207;0.0017;0.0394;0.01;0.045;;2197.0332;0.045;161013.49;430651.42;1055618.88;0.0503486347198486;18.054855;Africa;188.80248;9.480088;69.55183;5.085051;82.14614;131.7347;81.8246;5410.0
